MUNICIPIO|Titulares|NUMERO DECLARACIONES|NUMERO HABITANTES|POSICIONAMIENTO RENTA BRUTA MEDIA NIVEL NACIONAL|POSICIONAMIENTO RENTA BRUTA MEDIA NIVEL AUTONOMICO|RENTA BRUTA MEDIA|RENTA DISPONIBLE MEDIA
 Ubeda|19.502|15.213|35.177|1.060|64|20.707|17.416
 Martos|13.994|10.920|24.562|1.324|94|19.440|16.612
 Carolina, La|7.640|5.841|15.808|1.401|105|19.064|16.407
 Baeza|9.283|7.036|16.215|1.532|117|18.490|15.821
 Andújar|19.456|14.863|38.549|1.709|146|17.727|15.304
 Torredonjimeno|8.313|6.474|14.036|1.745|153|17.564|15.173
 Mengíbar|4.756|3.446|9.943|1.753|154|17.511|15.168
 Cazorla|4.127|3.181|7.812|1.825|171|17.232|14.989
 Mancha Real|6.433|4.898|11.324|1.830|172|17.191|14.975
 Torre del Campo|8.402|6.397|14.616|2.046|213|16.414|14.263
 Alcalá la Real|13.094|10.290|22.324|2.050|216|16.403|14.315
 Canena|1.228|935|1.981|2.096|222|16.257|14.220
 Orcera|1.041|838|1.927|2.150|239|16.059|14.158
 Vilches|2.668|1.981|4.724|2.175|245|15.936|14.070
 Bailén|9.422|6.703|18.419|2.253|267|15.603|13.761
 Puerta de Segura, La|1.358|1.079|2.542|2.333|289|15.259|13.422
 Santa Elena|447|344|1.001|2.346|294|15.225|13.403
 Villares, Los|3.641|2.827|5.936|2.355|298|15.178|13.239
 Puente de Génave|1.193|918|2.247|2.356|299|15.176|13.359
 Siles|1.220|1.000|2.362|2.377|305|15.098|13.304
 Fuerte del Rey|728|560|1.402|2.381|307|15.087|13.387
 Villanueva de la Reina|1.814|1.406|3.274|2.436|324|14.908|13.257
 Alcaudete|6.414|5.161|10.896|2.452|328|14.870|13.163
 Baños de la Encina|1.367|980|2.669|2.468|334|14.818|13.273
 Ibros|1.675|1.234|3.002|2.486|337|14.756|13.137
 Villanueva del Arzobispo|4.676|3.636|8.595|2.487|338|14.753|13.060
 Marmolejo|4.167|3.252|7.183|2.492|341|14.721|13.049
 Peal de Becerro|3.118|2.451|5.413|2.509|347|14.633|12.991
 Guarromán|1.197|870|2.919|2.525|352|14.545|12.991
 Arjona|3.333|2.573|5.732|2.544|361|14.490|12.908
 Villacarrillo|6.617|5.296|11.092|2.550|363|14.464|12.832
 Rus|2.087|1.526|3.695|2.604|378|14.272|12.753
 Cárcheles|821|618|1.458|2.608|380|14.265|12.813
 Jamilena|1.995|1.527|3.466|2.622|385|14.201|12.714
 Pegalajar|1.704|1.237|3.055|2.627|388|14.178|12.673
 Villatorres|2.488|1.897|4.443|2.629|389|14.177|12.707
 Porcuna|4.291|3.423|6.630|2.676|416|13.963|12.467
 Segura de la Sierra|1.082|907|1.923|2.685|421|13.918|12.412
 Huelma|3.585|2.626|6.114|2.690|422|13.906|12.530
 Fuensanta de Martos|1.929|1.469|3.160|2.691|423|13.905|12.535
 Sabiote|2.474|1.787|4.101|2.697|427|13.885|12.489
 Torreperogil|4.589|3.378|7.600|2.708|430|13.848|12.418
 Santiago|1.416|1.149|3.422|2.709|431|13.846|12.402
 Castillo de Locubín|2.736|2.239|4.381|2.719|436|13.784|12.548
 Arjonilla|2.211|1.718|3.764|2.724|437|13.748|12.371
 Beas de Segura|2.926|2.275|5.542|2.725|438|13.746|12.310
 Begíjar|1.762|1.313|3.133|2.736|445|13.699|12.312
 Lopera|2.274|1.808|3.837|2.737|446|13.698|12.309
 Iruela, La|996|746|2.045|2.768|458|13.541|12.281
 Campillo de Arenas|1.178|931|1.977|2.771|460|13.514|12.375
 Quesada|3.282|2.508|5.613|2.776|464|13.488|12.181
 Pozo Alcón|2.896|2.214|4.970|2.799|475|13.344|12.156
 Sorihuela del Guadalimar|591|486|1.298|2.820|485|13.213|11.933
 Arroyo del Ojanco|1.266|993|2.455|2.824|488|13.204|11.889
 Castellar|2.006|1.560|3.470|2.828|491|13.179|11.853
 Frailes|1.092|851|1.648|2.831|494|13.174|12.033
 Villardompardo|639|483|1.054|2.835|498|13.135|11.942
 Cabra del Santo Cristo|1.149|864|1.968|2.853|509|13.001|11.820
 Jabalquinto|1.208|974|2.250|2.855|510|12.987|11.819
 Valdepeñas de Jaén|2.469|1.866|3.988|2.859|514|12.974|11.764
 Torres|1.001|765|1.558|2.876|523|12.881|11.750
 Lahiguera|1.201|943|1.804|2.879|524|12.855|11.692
 Santo Tomé|1.265|985|2.330|2.885|527|12.821|11.697
 Santisteban del Puerto|2.611|1.986|4.712|2.887|529|12.813|11.519
 Jimena|781|599|1.358|2.889|530|12.780|11.720
 Chiclana de Segura|559|437|1.051|2.891|532|12.749|11.721
 Bedmar y Garcíez|1.743|1.358|2.902|2.896|534|12.659|11.634
 Navas de San Juan|2.813|2.090|4.790|2.911|539|12.489|11.408
 Bélmez de la Moraleda|978|755|1.709|2.916|543|12.453|11.406
 Torreblascopedro|1.566|1.225|2.783|2.917|544|12.450|11.334
 Jódar|6.043|4.615|12.082|2.921|547|12.433|11.245
 Noalejo|1.108|858|2.002|2.929|551|12.244|11.404
